"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"19918","NA","NA","NA","NA","NA","NA","NA","0"
"6912","D-Xylitol","HMDB0002917","6912","17151","C00379",NA,"OC[C@H](O)[C@@H](O)[C@H](O)CO","1"
"24417","Methylcysteine","HMDB0002108","24417","45658","C22040","6490","CSC[C@@H](N)C(O)=O","1"
"40010","NA","NA","NA","NA","NA","NA","NA","0"
"7015695","NA","NA","NA","NA","NA","NA","NA","0"
"71752187","NA","NA","NA","NA","NA","NA","NA","0"
"5281","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(O)=O","1"
"10457","Suberic acid","HMDB0000893","10457","9300","C08278","4243","OC(=O)CCCCCCC(O)=O","1"
"7922","Succinic anhydride","HMDB0032523","7922","36595","C19524",NA,"O=C1CCC(=O)O1","1"
"45","Hydroxypropanedioic acid","HMDB0035227","45","16513","C02287",NA,"OC(C(O)=O)C(O)=O","1"
"64678","NA","NA","NA","NA","NA","NA","NA","0"
"611805","NA","NA","NA","NA","NA","NA","NA","0"
"553578","NA","NA","NA","NA","NA","NA","NA","0"
"6505","Acetyl tributyl citrate","HMDB0034159","6505",NA,NA,NA,"CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC","1"
"7618","Triethanolamine","HMDB0032538","7618","28621","C06771",NA,"OCCN(CCO)CCO","1"
"91733438","NA","NA","NA","NA","NA","NA","NA","0"
"637748","NA","NA","NA","NA","NA","NA","NA","0"
"533405","NA","NA","NA","NA","NA","NA","NA","0"
"135409350","NA","NA","NA","NA","NA","NA","NA","0"
"6503","Tromethamine","HMDB0240288","6503","9754","C07182",NA,"NC(CO)(CO)CO","1"
"6057","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"1174","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"1245","NA","NA","NA","NA","NA","NA","NA","0"
"5707","NA","NA","NA","NA","NA","NA","NA","0"
"135191","D-Xylose","HMDB0000098","135191","53455","C00181","314","O[C@@H]1COC(O)[C@H](O)[C@H]1O","1"
"8655","Syringaldehyde","HMDB0258653","8655","67380",NA,NA,"COC1=CC(C=O)=CC(OC)=C1O","1"
"6993118","NA","NA","NA","NA","NA","NA","NA","0"
"8697","2-Ethylhexanoic acid","HMDB0031230","8697","89058",NA,NA,"CCCCC(CC)C(O)=O","1"
"5951","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"8221","Octadecanol","HMDB0002350","8221","32154","D01924","6640","CCCCCCCCCCCCCCCCCCO","1"
"161815","NA","NA","NA","NA","NA","NA","NA","0"
"965","Octadec-9-enoic Acid","HMDB0062703","965","36021",NA,NA,"CCCCCCCCC=CCCCCCCCC(O)=O","1"
"543807","Germacrane","HMDB0252703","543807",NA,NA,NA,"CC(C)C1CCC(C)CCCC(C)CC1","1"
"996","Phenol","HMDB0000228","996","15882","C00146","128","OC1=CC=CC=C1","1"
"10349","NA","NA","NA","NA","NA","NA","NA","0"
"79784","NA","NA","NA","NA","NA","NA","NA","0"
"6287","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"25310","Rhamnose","HMDB0000849","25310","62346","C00507","5812","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","1"
"1183","Vanillin","HMDB0012308","1183","18346","C00755",NA,"COC1=CC(C=O)=CC=C1O","1"
"1176","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"30111","NA","NA","NA","NA","NA","NA","NA","0"
"644022","11-hydroxy-Delta(9)-tetrahydrocannabinol","HMDB0062581","644022","77270",NA,NA,"[H][C@@]12C=C(CO)CC[C@@]1([H])C(C)(C)OC1=CC(CCCCC)=CC(O)=C21","1"
"7510","NA","NA","NA","NA","NA","NA","NA","0"
"597","Cytosine","HMDB0000630","597","16040","C00380","283","NC1=CC=NC(=O)N1","1"
"638072","Squalene","HMDB0000256","638072","15440","C00751","197","CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C","1"
"78829","NA","NA","NA","NA","NA","NA","NA","0"
"6288","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"643798","Citraconic acid","HMDB0000634","643798","17626","C02226","5607","C\C(=C\C(O)=O)C(O)=O","1"
"243","Benzoic acid","HMDB0001870","243","30746","C00180","1297","OC(=O)C1=CC=CC=C1","1"
"236334","NA","NA","NA","NA","NA","NA","NA","0"
"8193","Dodecanol","HMDB0011626","8193","28878","C02277",NA,"CCCCCCCCCCCCO","1"
"7507","NA","NA","NA","NA","NA","NA","NA","0"
"12665","2-Piperidinone","HMDB0011749","12665","77761",NA,NA,"O=C1CCCCN1","1"
"239","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"743","Glutaric acid","HMDB0000661","743","17859","C00489","3254","OC(=O)CCCC(O)=O","1"
"5362751","3-Undecene",NA,"5362751",NA,NA,NA,"CC/C=C/CCCCCCC","1"
"150929","(S)-3,4-Dihydroxybutyric acid","HMDB0000337","150929","86371",NA,NA,"OCC(O)CC(O)=O","1"
"439195","NA","NA","NA","NA","NA","NA","NA","0"
"560035","NA","NA","NA","NA","NA","NA","NA","0"
"1136","5-(2-Hydroxyethyl)-4-methylthiazole","HMDB0032985","1136","17957","C04294",NA,"CC1=C(CCO)SC=N1","1"
"7413","Cyclohexanecarboxylic acid","HMDB0031342","7413","36096","C09822",NA,"OC(=O)C1CCCCC1","1"
"445408","Ribothymidine","HMDB0000884","445408","45996",NA,"5843","CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O","1"
"1018","Picolinic acid","HMDB0002243","1018","28747","C10164",NA,"OC(=O)C1=CC=CC=N1","1"
"145742","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"11517","butyl octanoate","HMDB0303890","11517","87380",NA,NA,"CCCCCCCC(=O)OCCCC","1"
"65098","2S-amino-pentanoic acid",NA,"65098","18314","C01826",NA,"CCC(N)C(=O)O","1"
"13712","Deoxyuridine","HMDB0000012","13712","16450","C00526","5086","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"1048","1H-pyrazole",NA,"1048",NA,NA,NA,NA,"1"
"205694","NA","NA","NA","NA","NA","NA","NA","0"
"5351896","3-Hexenedioic acid","HMDB0000393","5351896","86952",NA,"5382","OC(=O)C\C=C\CC(O)=O","1"
"87077647","NA","NA","NA","NA","NA","NA","NA","0"
"5789","Thymidine","HMDB0000273","5789","17748","C00214","3375","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"11378852","NA","NA","NA","NA","NA","NA","NA","0"
"7991","Valeric acid","HMDB0000892","7991","17418","C00803","110","CCCCC(O)=O","1"
"135398638","NA","NA","NA","NA","NA","NA","NA","0"
"439535","2,3,4-Trihydroxybutanoic acid","HMDB0245425","439535","49060","C01620",NA,"OCC(O)C(O)C(O)=O","1"
"1738118","Aldehydo-N-acetyl-D-glucosamine","HMDB0062641","1738118","17411",NA,NA,"[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"309","Aconitic acid","HMDB0247961","309","22211",NA,NA,"OC(=O)CC(=CC(O)=O)C(O)=O","1"
"7311","2,4-Di-tert-butylphenol","HMDB0013816","7311","89188",NA,NA,"CC(C)(C)C1=CC=C(O)C(=C1)C(C)(C)C","1"
"1188","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"109224","3,7-Dimethyl-6-octenyl formate",NA,"109224",NA,NA,NA,"CC(C)CCCC(C)CCOC=O","1"
"5376991","NA","NA","NA","NA","NA","NA","NA","0"
"21145993","NA","NA","NA","NA","NA","NA","NA","0"
"111064","Ribonolactone","HMDB0001900","111064","74168","C02674","6380","OC[C@H]1OC(=O)[C@H](O)[C@@H]1O","1"
"6993116","NA","NA","NA","NA","NA","NA","NA","0"
"8180","Undecanoic acid","HMDB0000947","8180","32368","C17715","5894","CCCCCCCCCCC(O)=O","1"
"6570","3-Buten-2-one","HMDB0061873","6570","48058","C03827",NA,"CC(=O)C=C","1"
"11869260","NA","NA","NA","NA","NA","NA","NA","0"
"5363234","NA","NA","NA","NA","NA","NA","NA","0"
"5325915","Erythrono-1,4-lactone","HMDB0000349","5325915","87625",NA,"5338","O[C@@H]1COC(=O)[C@@H]1O","1"
"75725","NA","NA","NA","NA","NA","NA","NA","0"
"91","3-(3-Hydroxyphenyl)propanoic acid","HMDB0000375","91","1427","C11457","5364","OC(=O)CCC1=CC(O)=CC=C1","1"
"11197","Tetracosanoic acid","HMDB0002003","11197","28866","C08320","6427","CCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"1057","1,2,3-Trihydroxybenzene","HMDB0013674","1057","16164","C01108",NA,"[H]OC1=CC=CC(O[H])=C1O[H]","1"
"8064","NA","NA","NA","NA","NA","NA","NA","0"
"9815668","NA","NA","NA","NA","NA","NA","NA","0"
"7021828","NA","NA","NA","NA","NA","NA","NA","0"
"1254","p-Menthan-3-ol","HMDB0035765","1254","25187",NA,NA,"CC(C)C1CCC(C)CC1O","1"
"13849","Pentadecanoic acid","HMDB0000826","13849","42504","C16537","5789","CCCCCCCCCCCCCCC(O)=O","1"
"14490","6-Hydroxyhexanoic acid","HMDB0012843","14490","17869","C06103",NA,"OCCCCCC(O)=O","1"
"5460677","Ribonic acid","HMDB0000867","5460677","21077","C01685","3290","OC[C@@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"24781","NA","NA","NA","NA","NA","NA","NA","0"
"10850","TG(8:0/8:0/8:0)","HMDB0011187","10850","76978","C13044",NA,"[H]C(COC(=O)CCCCCCC)(COC(=O)CCCCCCC)OC(=O)CCCCCCC","1"
"14871","2,3-Dihydroxypropyl dodecanoate","HMDB0245396","14871","75539",NA,NA,"CCCCCCCCCCCC(=O)OCC(O)CO","1"
"10394","Desaminotyrosine","HMDB0002199","10394","32980","C01744","4148","OC(=O)CCC1=CC=C(O)C=C1","1"
"12290","4-Pyridone",NA,"12290",NA,NA,NA,NA,"1"
"80642","Sumiki's acid","HMDB0002432","80642","89118","C20448","6680","OCC1=CC=C(O1)C(O)=O","1"
"86472","alpha-Tocopherol acetate","HMDB0034227","86472","32321","C13202",NA,"CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(OC(C)=O)=C(C)C(C)=C2O1","1"
"18407","4-Acetylbutyrate","HMDB0061881","18407","15888","C02129",NA,"CC(=O)CCCC(O)=O","1"
"5192","Sebacic acid","HMDB0000792","5192","41865","C08277","4240","OC(=O)CCCCCCCCC(O)=O","1"
"5905","Idoxuridine","HMDB0014394","5905","147675",NA,NA,"OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O","1"
"107689","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"11029884","NA","NA","NA","NA","NA","NA","NA","0"
"91451","17a-Hydroxypregnenolone","HMDB0000363","91451","28750","C05138","5352","[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C","1"
"6029","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"140304","NA","NA","NA","NA","NA","NA","NA","0"
"7966","NA","NA","NA","NA","NA","NA","NA","0"
"78294","Myristyl palmitate",NA,"78294","84064",NA,NA,"CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC","1"
"77487","NA","NA","NA","NA","NA","NA","NA","0"
"8158","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(O)=O","1"
"6360","Isobutane","HMDB0253605","6360","30363",NA,NA,"CC(C)C","1"
"14900","NA","NA","NA","NA","NA","NA","NA","0"
"78127","NA","NA","NA","NA","NA","NA","NA","0"
"6723","4-Pyridoxic acid","HMDB0000017","6723","17405","C00847","239","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"29303","1-Hexacosene","HMDB0040527","29303",NA,NA,NA,"CCCCCCCCCCCCCCCCCCCCCCCCC=C","1"
"643474","N-Methyl-L-proline","HMDB0094696","643474","90344",NA,NA,"CN1CCC[C@H]1C(O)=O","1"
"753","Glycerol","HMDB0000131","753","17754","C00116","105","OCC(O)CO","1"
"108223","2-Deoxyglucose","HMDB0062477","108223","15866",NA,NA,"OC[C@@H](O)[C@@H](O)[C@H](O)CC=O","1"
"82436","1-Tetracosene",NA,"82436",NA,NA,NA,"C=CCCCCCCCCCCCCCCCCCCCCCC","1"
"670","Dihydroxyacetone","HMDB0001882","670","16016","C00184","6368","OCC(=O)CO","1"
"10469","Hexacosanoic acid","HMDB0002356","10469","31009",NA,"6642","CCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"94154","D-Arabitol","HMDB0000568","94154","18333","C01904","5551","OC[C@@H](O)C(O)[C@H](O)CO","1"
"1110","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"5961","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"78206","NA","NA","NA","NA","NA","NA","NA","0"
"2266","Azelaic acid","HMDB0000784","2266","48131","C08261","5750","OC(=O)CCCCCCCC(O)=O","1"
"173183","Campesterol","HMDB0002869","173183","28623","C01789","167","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C","1"
"13401","3-Hydroxypicolinic acid","HMDB0013188","13401","64342","C18620",NA,"OC(=O)C1=C(O)C=CC=N1","1"
"6341","Ethylamine","HMDB0013231","6341","15862","C00797",NA,"CCN","1"
"123409","MG(0:0/16:0/0:0)","HMDB0011533","123409","75455",NA,NA,"[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCC","1"
"5922","Isonicotinic acid","HMDB0060665","5922","6032","C07446",NA,"OC(=O)C1=CC=NC=C1","1"
"268577","NA","NA","NA","NA","NA","NA","NA","0"
"91742919","NA","NA","NA","NA","NA","NA","NA","0"
"570753","NA","NA","NA","NA","NA","NA","NA","0"
"31016","NA","NA","NA","NA","NA","NA","NA","0"
"33306","NA","NA","NA","NA","NA","NA","NA","0"
"597463","NA","NA","NA","NA","NA","NA","NA","0"
"592028","NA","NA","NA","NA","NA","NA","NA","0"
"14345506","NA","NA","NA","NA","NA","NA","NA","0"
"612085","NA","NA","NA","NA","NA","NA","NA","0"
"91716313","NA","NA","NA","NA","NA","NA","NA","0"
"66540","NA","NA","NA","NA","NA","NA","NA","0"
"620980","NA","NA","NA","NA","NA","NA","NA","0"
"553703","NA","NA","NA","NA","NA","NA","NA","0"
"61136","NA","NA","NA","NA","NA","NA","NA","0"
"10442","NA","NA","NA","NA","NA","NA","NA","0"
"31039","10-undecynoic acid",NA,"31039",NA,NA,NA,"C#CCCCCCCCCC(=O)O","1"
"263","1-Butanol","HMDB0004327","263","28885","C06142","7052","CCCCO","1"
"24847","NA","NA","NA","NA","NA","NA","NA","0"
"68171","Ceryl alcohol",NA,"68171","28415","C08381",NA,"CCCCCCCCCCCCCCCCCCCCCCCCCCO","1"
"5378122","NA","NA","NA","NA","NA","NA","NA","0"
"24284463","NA","NA","NA","NA","NA","NA","NA","0"
"8016","NA","NA","NA","NA","NA","NA","NA","0"
"1474","2,2'-Bipyridine","HMDB0245352","1474","30351",NA,NA,"C1=CC=C(N=C1)C1=CC=CC=N1","1"
"575921","NA","NA","NA","NA","NA","NA","NA","0"
"250402","2,3-Dihydroxybutanoic acid","HMDB0245394","250402","86347",NA,NA,"CC(O)C(O)C(O)=O","1"
"122538","NA","NA","NA","NA","NA","NA","NA","0"
"73852","NA","NA","NA","NA","NA","NA","NA","0"
"10881","NA","NA","NA","NA","NA","NA","NA","0"
"6990","2',4'-Dihydroxyacetophenone","HMDB0029659","6990","18414","C03663",NA,"CC(=O)C1=C(O)C=C(O)C=C1","1"
"231242","NA","NA","NA","NA","NA","NA","NA","0"
"91741551","NA","NA","NA","NA","NA","NA","NA","0"
"79865","NA","NA","NA","NA","NA","NA","NA","0"
"66609","NA","NA","NA","NA","NA","NA","NA","0"
"78651","NA","NA","NA","NA","NA","NA","NA","0"
"4653788","NA","NA","NA","NA","NA","NA","NA","0"
"6568","2-Butanol","HMDB0011469","6568","35687",NA,NA,"CCC(C)O","1"
"20024","NA","NA","NA","NA","NA","NA","NA","0"
"8065","NA","NA","NA","NA","NA","NA","NA","0"
"723","But-2-enedioic acid","HMDB0249450","723","22958",NA,NA,"OC(=O)C=CC(O)=O","1"
"8133","2-Butoxyethanol","HMDB0031327","8133","63921","C19355",NA,"CCCCOCCO","1"
"101209","NA","NA","NA","NA","NA","NA","NA","0"
"14511","3-Methyl-2-cyclohexen-1-one","HMDB0031541","14511",NA,NA,NA,"CC1=CC(=O)CCC1","1"
"14254","Decan-2-ol","HMDB0303078","14254","29507","C12107",NA,"CCCCCCCCC(C)O","1"
"7358","NA","NA","NA","NA","NA","NA","NA","0"
"7720","xi-2-Ethyl-1-hexanol","HMDB0031231","7720","16011","C02498",NA,"CCCCC(CC)CO","1"
"574169","NA","NA","NA","NA","NA","NA","NA","0"
"12297","2-Hexanol","HMDB0061886","12297","88370",NA,NA,"CCCCC(C)O","1"
"16753967","NA","NA","NA","NA","NA","NA","NA","0"
"5883711","NA","NA","NA","NA","NA","NA","NA","0"
"14833616","NA","NA","NA","NA","NA","NA","NA","0"
"12698","NA","NA","NA","NA","NA","NA","NA","0"
"11264","2-Methylpentan-3-ol","HMDB0302390","11264",NA,NA,NA,"CCC(O)C(C)C","1"
"21308","NA","NA","NA","NA","NA","NA","NA","0"
"554546","NA","NA","NA","NA","NA","NA","NA","0"
"61303","2-Pentadecanone","HMDB0031081","61303","89254",NA,NA,"CCCCCCCCCCCCCC(C)=O","1"
"6732","NA","NA","NA","NA","NA","NA","NA","0"
"123543","2-Propyl-1-pentanol","HMDB0094707","123543",NA,NA,NA,"CCCC(CO)CCC","1"
"532783","NA","NA","NA","NA","NA","NA","NA","0"
"91735456","NA","NA","NA","NA","NA","NA","NA","0"
"91697039","NA","NA","NA","NA","NA","NA","NA","0"
"10931","Senecioic acid","HMDB0000509","10931","37127",NA,"5495","CC(C)=CC(O)=O","1"
"8768","3,4-Dihydroxybenzaldehyde","HMDB0059965","8768","50205","C16700",NA,"OC1=CC=C(C=O)C=C1O","1"
"1614","3,4-Methylenedioxyamphetamine","HMDB0041931","1614","1391","C07577",NA,"CC(N)CC1=CC2=C(OCO2)C=C1","1"
"10357235","NA","NA","NA","NA","NA","NA","NA","0"
"7948","3,5-Dimethylphenol","HMDB0246064","7948","38572",NA,NA,"CC1=CC(O)=CC(C)=C1","1"
"66172","NA","NA","NA","NA","NA","NA","NA","0"
"7419","m-Aminobenzoic acid","HMDB0001891","7419","42682",NA,"6374","NC1=CC=CC(=C1)C(O)=O","1"
"11520","xi-3-Heptanol","HMDB0031481","11520",NA,NA,NA,"CCCCC(O)CC","1"
"21721930","NA","NA","NA","NA","NA","NA","NA","0"
"575923","NA","NA","NA","NA","NA","NA","NA","0"
"12988","3-Methyl-3-buten-1-ol","HMDB0030126","12988","62898",NA,NA,"CC(=C)CCO","1"
"88350","NA","NA","NA","NA","NA","NA","NA","0"
"317527","NA","NA","NA","NA","NA","NA","NA","0"
"7034","NA","NA","NA","NA","NA","NA","NA","0"
"66962","NA","NA","NA","NA","NA","NA","NA","0"
"119","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"9015","Mequinol","HMDB0029696","9015",NA,NA,NA,"COC1=CC=C(O)C=C1","1"
"12587","Isocaproic acid","HMDB0000689","12587","74903",NA,"4191","CC(C)CCC(O)=O","1"
"3799774","4-keto-n-caproic acid",NA,"3799774",NA,NA,NA,"CCC(=O)CCC(=O)O","1"
"177746","NA","NA","NA","NA","NA","NA","NA","0"
"6034727","NA","NA","NA","NA","NA","NA","NA","0"
"19956","NA","NA","NA","NA","NA","NA","NA","0"
"521410","NA","NA","NA","NA","NA","NA","NA","0"
"91697308","NA","NA","NA","NA","NA","NA","NA","0"
"53839399","NA","NA","NA","NA","NA","NA","NA","0"
"5378143","NA","NA","NA","NA","NA","NA","NA","0"
"19103","NA","NA","NA","NA","NA","NA","NA","0"
"46697","NA","NA","NA","NA","NA","NA","NA","0"
"12283","6-Methyluracil","HMDB0247093","12283","74733",NA,NA,"CC1=CC(O)=NC(O)=N1","1"
"66097","NA","NA","NA","NA","NA","NA","NA","0"
"98810","5-aceto valeric acid",NA,"98810",NA,NA,NA,"CC(=O)CCCCC(=O)O","1"
"91886114","NA","NA","NA","NA","NA","NA","NA","0"
"5393168","NA","NA","NA","NA","NA","NA","NA","0"
"5411574","NA","NA","NA","NA","NA","NA","NA","0"
"111470","Isocapric acid",NA,"111470",NA,NA,NA,"CC(C)CCCCCCC(=O)O","1"
"91740788","NA","NA","NA","NA","NA","NA","NA","0"
"5378599","NA","NA","NA","NA","NA","NA","NA","0"
"11167229","NA","NA","NA","NA","NA","NA","NA","0"
"176","Acetic acid","HMDB0000042","176","15366","C00033","3206","CC(O)=O","1"
"190","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"11671","alpha-Hydroxyisobutyric acid","HMDB0000729","11671","50129",NA,"3750","CC(C)(O)C(O)=O","1"
"2146","Aminoguanidine","HMDB0248318","2146","40618",NA,NA,"NNC(N)=N","1"
"6115","Aniline","HMDB0003012","6115","17296","C00292","489","NC1=CC=CC=C1","1"
"620905","NA","NA","NA","NA","NA","NA","NA","0"
"107","Hydrocinnamic acid","HMDB0000764","107","28631","C05629","4153","OC(=O)CCC1=CC=CC=C1","1"
"606316","NA","NA","NA","NA","NA","NA","NA","0"
"7095","Biphenyl","HMDB0034437","7095","17097","C06588",NA,"C1=CC=C(C=C1)C1=CC=CC=C1","1"
"8068","NA","NA","NA","NA","NA","NA","NA","0"
"264","Butyric acid","HMDB0000039","264","30772","C00246","107","CCCC(O)=O","1"
"10522","NA","NA","NA","NA","NA","NA","NA","0"
"5356596","(Z)-2-Decenoic acid","HMDB0242157","5356596","50466",NA,NA,"[H]\C(CCCCCCC)=C(/[H])C(O)=O","1"
"1081","Citramalic acid","HMDB0000426","1081","15584","C00815","5415","CC(O)(CC(O)=O)C(O)=O","1"
"637090","But-2-enoic acid","HMDB0010720","637090","41131","C01771",NA,"C\C=C\C(O)=O","1"
"969516","Curcumin","HMDB0002269","969516","3962","C10443",NA,"COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O","1"
"75645","NA","NA","NA","NA","NA","NA","NA","0"
"69879809","Cyclocurcumin","HMDB0033086","69879809",NA,NA,NA,"COC1=C(O)C=CC(\C=C\C2=CC(=O)CC(O2)C2=CC(OC)=C(O)C=C2)=C1","1"
"10399","NA","NA","NA","NA","NA","NA","NA","0"
"13398","NA","NA","NA","NA","NA","NA","NA","0"
"2903","NA","NA","NA","NA","NA","NA","NA","0"
"102861","Methyl dihydrojasmonate","HMDB0031740","102861","89741",NA,NA,"CCCCC[C@@H]1[C@@H](CC(=O)OC)CCC1=O","1"
"6409633","NA","NA","NA","NA","NA","NA","NA","0"
"3534665","NA","NA","NA","NA","NA","NA","NA","0"
"3033","Diclofenac","HMDB0014724","3033","47381","C01690",NA,"OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl","1"
"8021","Diethylamine","HMDB0041878","8021","85259","C14422",NA,"CCNCC","1"
"25068","Isopropyl_laurate","HMDB0059820","25068","89676",NA,NA,"[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H]","1"
"11754987","NA","NA","NA","NA","NA","NA","NA","0"
"1983","Acetaminophen","HMDB0001859","1983","46195","C06804","6353","CC(=O)NC1=CC=C(O)C=C1","1"
"713","Formamide","HMDB0001536","713","16397","C00488","4182","NC=O","1"
"135454","NA","NA","NA","NA","NA","NA","NA","0"
"124052","Glabridin",NA,"124052","5369","C10421",NA,"CC1(C)C=Cc2c(ccc3c2OC(c2ccc(O)cc2O)C3)O1","1"
"135398635","NA","NA","NA","NA","NA","NA","NA","0"
"8094","Heptanoic acid","HMDB0000666","8094","45571","C17714","5636","CCCCCCC(O)=O","1"
"8127","NA","NA","NA","NA","NA","NA","NA","0"
"787","Hydroxylamine","HMDB0003338","787","15429","C00192","6894","NO","1"
"19104051","NA","NA","NA","NA","NA","NA","NA","0"
"8897","Iminodiacetic acid","HMDB0011753","8897","24786","C19911",NA,"OC(=O)CNCC(O)=O","1"
"3718","indoprofen","HMDB0253478","3718","76162",NA,NA,"CC(C(O)=O)C1=CC=C(C=C1)N1CC2=CC=CC=C2C1=O","1"
"6560","Isobutanol","HMDB0006006","6560","46645","C14710",NA,"CC(C)CO","1"
"6363","Isopropylamine","HMDB0253679","6363","15739","C06748",NA,"CC(C)N","1"
"12597","NA","NA","NA","NA","NA","NA","NA","0"
"5460672","NA","NA","NA","NA","NA","NA","NA","0"
"92865","gamma-Glutamylglutamic acid","HMDB0011737","92865","73705","C05282",NA,"N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O","1"
"79070","Leucyl-Glycine","HMDB0028929","79070",NA,NA,NA,"CC(C)CC(N)C(=O)NCC(O)=O","1"
"91733016","NA","NA","NA","NA","NA","NA","NA","0"
"5962","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"91721610","NA","NA","NA","NA","NA","NA","NA","0"
"92934","NA","NA","NA","NA","NA","NA","NA","0"
"91461","lupinine","HMDB0304704","91461","28193",NA,NA,"O=C1CCC[C@@H]2[C@H]3C[C@@H](CN12)[C@@H]1CCCCN1C3","1"
"8369","Maltol","HMDB0030776","8369","142577","C11918",NA,"CC1=C(O)C(=O)C=CO1","1"
"6395","Mesylate","HMDB0240280","6395","27376","C11145",NA,"CS(O)(=O)=O","1"
"11040","NA","NA","NA","NA","NA","NA","NA","0"
"667493","NA","NA","NA","NA","NA","NA","NA","0"
"6419891","NA","NA","NA","NA","NA","NA","NA","0"
"164635","NA","NA","NA","NA","NA","NA","NA","0"
"7418","M-toluic Acid","HMDB0062810","7418","10589","C07211",NA,"CC1=CC=CC(=C1)C(O)=O","1"
"7902","Dimethylethanolamine","HMDB0032231","7902","271436","C04308",NA,"CN(C)CCO","1"
"6875502","NA","NA","NA","NA","NA","NA","NA","0"
"65065","N-Acetyl-L-aspartic acid","HMDB0000812","65065","21547","C01042","5776","CC(=O)N[C@@H](CC(O)=O)C(O)=O","1"
"88064","N-Acetyl-L-alanine","HMDB0000766","88064","40992",NA,"5733","C[C@H](NC(C)=O)C(O)=O","1"
"10403282","NA","NA","NA","NA","NA","NA","NA","0"
"9982","Etilamfetamine","HMDB0252099","9982",NA,NA,NA,"CCNC(C)CC1=CC=CC=C1","1"
"8769","NA","NA","NA","NA","NA","NA","NA","0"
"91693841","NA","NA","NA","NA","NA","NA","NA","0"
"6582","NA","NA","NA","NA","NA","NA","NA","0"
