cpx_gene,pls_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000043263-P,2-Aminobutanoic acid,-0.840668002,0.036057573,6,-0.774596669,0.225403331,4,,,1,-0.867323751,0.000543718,11,2,True,-,-1,0.084409183
ENSMUSG00000032238-P,2-Ethyl-3-hydroxypropionic acid,0.828862466,0.021173516,7,0.8,0.2,4,0.654653671,0.110566691,7,0.852714203,6.94e-06,18,3,True,+,1,0.015648289
ENSMUSG00000031489-P,2-Ethyl-3-hydroxypropionic acid,-0.666693722,0.10192046,7,-0.8,0.2,4,-0.522957788,0.228442392,7,-0.759485541,0.000256135,18,3,True,-,-1,0.067071685
ENSMUSG00000051510-P,2-Ethyl-3-hydroxypropionic acid,0.864899964,0.011965035,7,1.0,0.0,4,0.927426034,0.002620044,7,0.743153348,0.000409444,18,3,True,+,1,0.076516527
ENSMUSG00000004098-P,"2-Heptanone, 4,6-dimethyl-",-1.0,0.0,3,-0.866025404,0.333333333,3,,,0,-0.985610761,0.000309086,6,2,True,-,-1,0.070192523
ENSMUSG00000041642-P,"2-Heptanone, 4,6-dimethyl-",-1.0,0.0,3,-1.0,0.0,3,,,0,-1.0,0.0,6,2,True,-,-1,0.0
ENSMUSG00000031590-P,"2-Heptanone, 4,6-dimethyl-",1.0,0.0,3,1.0,0.0,3,,,0,1.0,0.0,6,2,True,+,1,0.0
ENSMUSG00000039145-P,"2-Heptanone, 4,6-dimethyl-",1.0,0.0,3,1.0,0.0,3,,,0,1.0,0.0,6,2,True,+,1,0.0
ENSMUSG00000078201-P,"2-Heptanone, 4,6-dimethyl-",1.0,0.0,3,1.0,0.0,3,,,0,1.0,0.0,6,2,True,+,1,0.0
ENSMUSG00000013858-P,2-Heptenoic acid,-0.7,0.188120404,5,-0.5,0.666666667,3,-0.6,0.208,6,-0.793406593,0.000707534,14,3,True,-,-1,0.094191433
ENSMUSG00000078485-P,2-Heptenoic acid,0.974679434,0.00481823,5,,,3,0.714285714,0.110787172,6,0.791490589,0.000744498,14,2,True,+,1,0.096015002
ENSMUSG00000014075-P,2-Hydroxy-3-methylbutyric acid,,,1,0.8,0.2,4,0.8,0.2,4,0.916666667,0.000506619,9,2,True,+,1,0.082373118
ENSMUSG00000022711-P,2-Hydroxy-3-methylbutyric acid,,,1,1.0,0.0,4,0.8,0.2,4,0.933333333,0.0002359,9,2,True,+,1,0.067071685
ENSMUSG00000029438-P,2-Hydroxy-3-methylbutyric acid,,,1,0.8,0.2,4,0.8,0.2,4,0.916666667,0.000506619,9,2,True,+,1,0.082373118
ENSMUSG00000071637-P,2-Hydroxy-3-methylbutyric acid,,,1,-0.8,0.2,4,-1.0,0.0,4,-0.9,0.000943062,9,2,True,-,-1,0.098452429
ENSMUSG00000041491-P,2-Hydroxy-3-methylbutyric acid,,,1,0.4,0.6,4,1.0,0.0,4,0.933333333,0.0002359,9,2,True,+,1,0.067071685
ENSMUSG00000046806-P,2-Hydroxy-5-methoxybenzaldehyde,-0.396412484,0.37863471,7,-0.4,0.6,4,-0.714285714,0.071343561,7,-0.766133298,0.000209423,18,3,True,-,-1,0.067071685
ENSMUSG00000032633-P,2-Hydroxybutyric acid,0.666693722,0.10192046,7,0.5,0.666666667,3,0.9,0.037386073,5,0.781054825,0.000586793,15,3,True,+,1,0.087926631
ENSMUSG00000004040-P,2-Hydroxybutyric acid,0.432449982,0.332526778,7,1.0,0.0,3,0.7,0.188120404,5,0.804289865,0.00030059,15,3,True,+,1,0.070097365
ENSMUSG00000024335-P,2-Hydroxybutyric acid,0.180187493,0.699045774,7,1.0,0.0,3,0.8,0.104088039,5,0.763181717,0.000932582,15,3,True,+,1,0.098452429
ENSMUSG00000058351-P,2-Hydroxybutyric acid,0.270281239,0.557730749,7,1.0,0.0,3,0.3,0.623837665,5,0.781054825,0.000586793,15,3,True,+,1,0.087926631
ENSMUSG00000038324-P,2-Hydroxybutyric acid,0.666693722,0.10192046,7,1.0,0.0,3,0.3,0.623837665,5,0.882931541,1.3e-05,15,3,True,+,1,0.024303314
ENSMUSG00000033792-P,2-Hydroxybutyric acid,0.324337487,0.47788548,7,1.0,0.0,3,0.7,0.188120404,5,0.800715244,0.000335011,15,3,True,+,1,0.070704867
ENSMUSG00000025231-P,2-Hydroxybutyric acid,-0.054056248,0.908365283,7,-0.5,0.666666667,3,-0.9,0.037386073,5,-0.763181717,0.000932582,15,3,True,-,-1,0.098452429
ENSMUSG00000024687-P,2-Isopropyl-5-methyl-1-heptanol ,0.866025404,0.333333333,3,1.0,0.0,3,,,1,0.991031209,1.46e-05,7,2,True,+,1,0.024866101
ENSMUSG00000041408-P,2-Isopropyl-5-methyl-1-heptanol ,0.866025404,0.333333333,3,0.5,0.666666667,3,,,1,0.95499371,0.000805535,7,2,True,+,1,0.09748109
ENSMUSG00000035293-P,2-Isopropyl-5-methyl-1-heptanol ,-0.866025404,0.333333333,3,-1.0,0.0,3,,,1,-0.991031209,1.46e-05,7,2,True,-,-1,0.024866101
ENSMUSG00000051297-P,2-Ketoisocaproic acid,0.942857143,0.004804665,6,,,2,0.828571429,0.041562682,6,0.842274216,0.000156823,14,2,True,+,1,0.061889587
ENSMUSG00000013858-P,2-Methyl-4-pentenoic acid,-0.753702346,0.083523281,6,-0.8,0.2,4,-0.695725243,0.124789337,6,-0.81885214,0.00010476,16,3,True,-,-1,0.056988561
ENSMUSG00000032238-P,2-Methyl-4-pentenoic acid,0.695725243,0.124789337,6,0.8,0.2,4,0.840668002,0.036057573,6,0.764360181,0.000564892,16,3,True,+,1,0.08621001
ENSMUSG00000030352-P,2-Methyl-4-pentenoic acid,-0.985610761,0.000309086,6,-0.8,0.2,4,-0.927633657,0.007665844,6,-0.773196715,0.000443468,16,3,True,-,-1,0.078582552
ENSMUSG00000024772-P,2-Methylglutaconic acid,-0.25,0.588724448,7,-1.0,0.0,4,-0.928571429,0.002519472,7,-0.715170279,0.00084924,18,3,True,-,-1,0.09748109
ENSMUSG00000016495-P,2-Oxooctanoic acid,-1.0,0.0,4,-0.5,0.666666667,3,,,1,-0.952380952,0.0002604,8,2,True,-,-1,0.067071685
ENSMUSG00000031511-P,2-Oxooctanoic acid,-1.0,0.0,4,-0.5,0.666666667,3,,,1,-0.952380952,0.0002604,8,2,True,-,-1,0.067071685
ENSMUSG00000021585-P,2-Oxooctanoic acid,-0.8,0.2,4,-0.5,0.666666667,3,,,1,-0.952380952,0.0002604,8,2,True,-,-1,0.067071685
ENSMUSG00000028811-P,2-Oxooctanoic acid,0.8,0.2,4,0.5,0.666666667,3,,,1,0.952380952,0.0002604,8,2,True,+,1,0.067071685
ENSMUSG00000050822-P,2-Pentenoic acid,0.5,0.666666667,3,1.0,0.0,3,0.2,0.8,4,0.878787879,0.000813862,10,3,True,+,1,0.09748109
ENSMUSG00000041642-P,2-Pentenoic acid,-0.5,0.666666667,3,-1.0,0.0,3,-0.8,0.2,4,-0.878787879,0.000813862,10,3,True,-,-1,0.09748109
ENSMUSG00000041491-P,"2-Propenamide, 3-phenyl-N-2-propenyl-",0.8,0.2,4,,,1,0.6,0.28475698,5,0.878787879,0.000813862,10,2,True,+,1,0.09748109
ENSMUSG00000066057-P,"2-Propenamide, 3-phenyl-N-2-propenyl-",1.0,0.0,4,,,1,0.6,0.28475698,5,0.890909091,0.000542144,10,2,True,+,1,0.084297044
ENSMUSG00000040612-P,"2,2-Diallylpyrrolidine",0.8,0.2,4,1.0,0.0,3,0.872081599,0.053854218,5,0.830123865,0.000831418,12,3,True,+,1,0.09748109
ENSMUSG00000021000-P,"2,2-Diallylpyrrolidine",0.8,0.2,4,0.5,0.666666667,3,0.872081599,0.053854218,5,0.907181776,4.63e-05,12,3,True,+,1,0.041355588
ENSMUSG00000051510-P,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.991031209,1.46e-05,7,0.8,0.2,4,0.630656224,0.128887696,7,0.737603699,0.000476526,18,3,True,+,1,0.080592749
ENSMUSG00000028383-P,"2,3-Butanediol",-0.885714286,0.018845481,6,-1.0,0.0,3,-0.414431233,0.355268944,7,-0.815305592,0.000118789,16,3,True,-,-1,0.056988561
ENSMUSG00000022426-P,"2,3-Butanediol",-0.828571429,0.041562682,6,-0.5,0.666666667,3,-0.630656224,0.128887696,7,-0.815305592,0.000118789,16,3,True,-,-1,0.056988561
ENSMUSG00000039883-P,"2,3,4-Trihydroxybutyric acid tetrakis",-0.800132264,0.030700962,7,,,1,-0.555936987,0.195022425,7,-0.824069403,0.000158233,15,2,True,-,-1,0.062191763
ENSMUSG00000001687-P,"2,3,4-Trihydroxybutyric acid tetrakis",0.872871561,0.010323415,7,,,1,0.555936987,0.195022425,7,0.766617942,0.000855745,15,2,True,+,1,0.09748109
ENSMUSG00000040661-P,"2,3,4-Trihydroxybutyric acid tetrakis",0.945610858,0.001286653,7,,,1,0.592999453,0.160521912,7,0.773799374,0.000711682,15,2,True,+,1,0.094363067
ENSMUSG00000032216-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",,,2,1.0,0.0,3,1.0,0.0,4,0.933333333,0.0002359,9,2,True,+,1,0.067071685
ENSMUSG00000026520-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",,,2,-0.5,0.666666667,3,-1.0,0.0,4,-0.933333333,0.0002359,9,2,True,-,-1,0.067071685
ENSMUSG00000028041-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",,,2,-1.0,0.0,3,-1.0,0.0,4,-0.933333333,0.0002359,9,2,True,-,-1,0.067071685
ENSMUSG00000038990-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",,,2,1.0,0.0,3,0.8,0.2,4,0.916666667,0.000506619,9,2,True,+,1,0.082373118
ENSMUSG00000004285-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",,,2,-1.0,0.0,3,-0.2,0.8,4,-0.933333333,0.0002359,9,2,True,-,-1,0.067071685
ENSMUSG00000020235-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",,,2,-1.0,0.0,3,-0.6,0.4,4,-0.916666667,0.000506619,9,2,True,-,-1,0.082373118
ENSMUSG00000024800-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",,,2,1.0,0.0,3,1.0,0.0,4,0.933333333,0.0002359,9,2,True,+,1,0.067071685
ENSMUSG00000054484-P,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",0.828862466,0.021173516,7,0.632455532,0.367544468,4,0.360374985,0.427148809,7,0.716279931,0.000826346,18,3,True,+,1,0.09748109
ENSMUSG00000029265-P,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",-0.792824967,0.033443544,7,-0.316227766,0.683772234,4,-0.23424374,0.613155037,7,-0.71938071,0.000765085,18,3,True,-,-1,0.096656392
ENSMUSG00000066057-P,"2,5-di-tert-Butyl-1,4-benzoquinone",,,2,-1.0,0.0,3,-1.0,0.0,3,-0.970077272,6.55e-05,8,2,True,-,-1,0.048092647
ENSMUSG00000038545-P,"2,5-Di-tert-butylhydroquinone",,,1,-0.4,0.6,4,-0.632455532,0.367544468,4,-0.92051015,0.0004311,9,2,True,-,-1,0.078055046
ENSMUSG00000053746-P,"2,5-Di-tert-butylhydroquinone",,,1,0.774596669,0.225403331,4,0.737864787,0.262135213,4,0.936246506,0.000202335,9,2,True,+,1,0.067071685
ENSMUSG00000029438-P,"2,5-Di-tert-butylhydroquinone",,,1,-0.4,0.6,4,-0.737864787,0.262135213,4,-0.928878424,0.000294526,9,2,True,-,-1,0.069788514
ENSMUSG00000041491-P,"2,5-Di-tert-butylhydroquinone",,,1,-0.8,0.2,4,-0.632455532,0.367544468,4,-0.953983246,6.58e-05,9,2,True,-,-1,0.048092647
ENSMUSG00000015970-P,"2,5-Dimethoxy-4-methylamphetamine",0.280680446,0.542047755,7,1.0,0.0,4,0.804617278,0.029082337,7,0.814326306,3.89e-05,18,3,True,+,1,0.037863298
ENSMUSG00000039000-P,"2,5-Dimethoxy-4-methylamphetamine",0.449088713,0.31209844,7,1.0,0.0,4,0.598784951,0.155435173,7,0.723038771,0.000697736,18,3,True,+,1,0.093515447
ENSMUSG00000041642-P,"2,5-Dimethoxybenzhydrazide",-0.071428571,0.879048193,7,-0.4,0.6,4,-0.535714286,0.215217456,7,-0.746515329,0.000372805,18,3,True,-,-1,0.073907169
ENSMUSG00000064246-P,"2,5-Dimethoxybenzhydrazide",0.357142857,0.431611352,7,0.2,0.8,4,0.285714286,0.534509229,7,0.756449948,0.000280219,18,3,True,+,1,0.068741648
ENSMUSG00000026527-P,"2,5-Dimethoxybenzhydrazide",-0.75,0.0521814,7,-0.737864787,0.262135213,4,-0.642857143,0.119392373,7,-0.735265275,0.00050743,18,3,True,-,-1,0.082373118
ENSMUSG00000015970-P,"2,5-Dimethoxybenzhydrazide",0.714285714,0.071343561,7,0.8,0.2,4,0.642857143,0.119392373,7,0.799793602,6.78e-05,18,3,True,+,1,0.048092647
ENSMUSG00000046714-P,"2,5-Dimethoxymandelic acid",0.885714286,0.018845481,6,1.0,0.0,4,0.828571429,0.041562682,6,0.85,3.05e-05,16,3,True,+,1,0.035186847
ENSMUSG00000042506-P,"2,5-Dimethoxymandelic acid",0.485714286,0.328723032,6,0.8,0.2,4,0.771428571,0.072396501,6,0.820588235,9.84e-05,16,3,True,+,1,0.056343264
ENSMUSG00000061533-P,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",,,0,1.0,0.0,3,1.0,0.0,3,1.0,0.0,6,2,True,+,1,0.0
ENSMUSG00000035934-P,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",,,0,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,6,2,True,-,-1,0.0
ENSMUSG00000028700-P,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",,,0,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,6,2,True,-,-1,0.0
ENSMUSG00000032216-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.714285714,0.071343561,7,,,0,0.642857143,0.119392373,7,0.797802198,0.000628276,14,2,True,+,1,0.089059848
ENSMUSG00000030216-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.964285714,0.000454149,7,,,0,0.535714286,0.215217456,7,0.854945055,9.77e-05,14,2,True,+,1,0.056237628
ENSMUSG00000026520-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",-0.857142857,0.013697327,7,,,0,-0.464285714,0.293934108,7,-0.810989011,0.00043221,14,2,True,-,-1,0.078055046
ENSMUSG00000001687-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.857142857,0.013697327,7,,,0,0.678571429,0.093750254,7,0.894505495,1.58e-05,14,2,True,+,1,0.02530808
ENSMUSG00000033487-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.714285714,0.071343561,7,,,0,0.892857143,0.006807187,7,0.828571429,0.000250534,14,2,True,+,1,0.067071685
ENSMUSG00000023967-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",-0.857142857,0.013697327,7,,,0,-0.857142857,0.013697327,7,-0.810989011,0.00043221,14,2,True,-,-1,0.078055046
ENSMUSG00000041408-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.607142857,0.148231161,7,,,0,0.607142857,0.148231161,7,0.797802198,0.000628276,14,2,True,+,1,0.089059848
ENSMUSG00000031246-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.607142857,0.148231161,7,,,0,0.678571429,0.093750254,7,0.802197802,0.000556306,14,2,True,+,1,0.085558767
ENSMUSG00000021709-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.857142857,0.013697327,7,,,0,0.464285714,0.293934108,7,0.784615385,0.000890074,14,2,True,+,1,0.097974425
ENSMUSG00000040661-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.964285714,0.000454149,7,,,0,0.464285714,0.293934108,7,0.863736264,6.85e-05,14,2,True,+,1,0.048092647
ENSMUSG00000003949-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0.892857143,0.006807187,7,,,0,0.571428571,0.180201989,7,0.806593407,0.000491113,14,2,True,+,1,0.081890182
ENSMUSG00000045817-P,"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",0.8,0.2,4,,,2,0.898645105,0.014888622,6,0.872155453,0.000216175,12,2,True,+,1,0.067071685
ENSMUSG00000021709-P,"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",1.0,0.0,4,,,2,0.637748139,0.17307111,6,0.865150188,0.000278812,12,2,True,+,1,0.068741648
ENSMUSG00000013858-P,"2,6-Dimethoxybenzylamine",-0.771428571,0.072396501,6,-1.0,0.0,3,,,2,-0.854545455,0.000806674,11,2,True,-,-1,0.09748109
ENSMUSG00000062040-P,"2,6-Dimethoxybenzylamine",0.714285714,0.110787172,6,1.0,0.0,3,,,2,0.909090909,0.000105593,11,2,True,+,1,0.056988561
ENSMUSG00000031079-P,"2,6-Dimethoxybenzylamine",-0.371428571,0.468478134,6,-0.5,0.666666667,3,,,2,-0.854545455,0.000806674,11,2,True,-,-1,0.09748109
ENSMUSG00000001964-P,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",-0.357142857,0.431611352,7,-0.8,0.2,4,-0.785714286,0.036238463,7,-0.717234262,0.000807071,18,3,True,-,-1,0.09748109
ENSMUSG00000097462-P,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",0.857142857,0.013697327,7,0.6,0.4,4,0.928571429,0.002519472,7,0.802271661,6.19e-05,18,3,True,+,1,0.047630497
ENSMUSG00000048330-P,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",0.107142857,0.819150856,7,1.0,0.0,4,0.821428571,0.023448808,7,0.729618163,0.000589052,18,3,True,+,1,0.088131802
ENSMUSG00000072763-P,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",0.714285714,0.071343561,7,0.8,0.2,4,0.928571429,0.002519472,7,0.795665635,7.87e-05,18,3,True,+,1,0.050867836
ENSMUSG00000030616-P,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",0.571428571,0.180201989,7,0.8,0.2,4,0.5,0.253169995,7,0.717234262,0.000807071,18,3,True,+,1,0.09748109
ENSMUSG00000030697-P,"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",-0.357142857,0.431611352,7,-1.0,0.0,3,-1.0,1.3999999999999999e-24,5,-0.771428571,0.000756875,15,3,True,-,-1,0.096480633
ENSMUSG00000038555-P,"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",-0.678571429,0.093750254,7,-0.5,0.666666667,3,-0.7,0.188120404,5,-0.764285714,0.00090731,15,3,True,-,-1,0.098452429
ENSMUSG00000035293-P,3-Amino-2-piperidone,-0.607142857,0.148231161,7,-0.4,0.6,4,-0.035714286,0.939408205,7,-0.711042312,0.000939105,18,3,True,-,-1,0.098452429
ENSMUSG00000042699-P,3-Amino-2-piperidone,0.357142857,0.431611352,7,0.2,0.8,4,0.571428571,0.180201989,7,0.737874097,0.000473057,18,3,True,+,1,0.080592749
ENSMUSG00000063894-P,3-Aminobenzoic acid,,,0,0.948683298,0.051316702,4,0.5,0.666666667,3,0.95499371,0.000805535,7,2,True,+,1,0.09748109
ENSMUSG00000028133-P,3-Aminobenzoic acid,,,0,-0.948683298,0.051316702,4,-0.5,0.666666667,3,-0.95499371,0.000805535,7,2,True,-,-1,0.09748109
ENSMUSG00000030265-P,3-Aminobenzoic acid,,,0,-0.948683298,0.051316702,4,-0.5,0.666666667,3,-0.95499371,0.000805535,7,2,True,-,-1,0.09748109
ENSMUSG00000040167-P,3-Aminobenzoic acid,,,0,-0.948683298,0.051316702,4,-1.0,0.0,3,-0.991031209,1.46e-05,7,2,True,-,-1,0.024866101
ENSMUSG00000042129-P,3-Aminobenzoic acid,,,0,-0.948683298,0.051316702,4,-0.5,0.666666667,3,-0.95499371,0.000805535,7,2,True,-,-1,0.09748109
ENSMUSG00000026096-P,3-Aminobenzoic acid,,,0,0.948683298,0.051316702,4,0.5,0.666666667,3,0.95499371,0.000805535,7,2,True,+,1,0.09748109
ENSMUSG00000004263-P,3-Aminobenzoic acid,,,0,-0.948683298,0.051316702,4,-0.5,0.666666667,3,-0.95499371,0.000805535,7,2,True,-,-1,0.09748109
ENSMUSG00000027349-P,3-Aminobenzoic acid,,,0,0.948683298,0.051316702,4,1.0,0.0,3,0.991031209,1.46e-05,7,2,True,+,1,0.024866101
ENSMUSG00000037408-P,3-Aminobenzoic acid,,,0,0.948683298,0.051316702,4,1.0,0.0,3,0.991031209,1.46e-05,7,2,True,+,1,0.024866101
ENSMUSG00000039194-P,3-Aminobutanoic acid,0.864899964,0.011965035,7,,,1,0.48650623,0.268248562,7,0.767443088,0.000838081,15,2,True,+,1,0.09748109
ENSMUSG00000030782-P,"3-Buten-2-one, 3-trimethylsilyloxy-",-0.535714286,0.215217456,7,-0.8,0.2,4,-0.785714286,0.036238463,7,-0.713106295,0.00089323,18,3,True,-,-1,0.097974425
ENSMUSG00000031079-P,"3-Buten-2-one, 4-(4-methoxyphenyl)-",0.571428571,0.180201989,7,0.948683298,0.051316702,4,0.535714286,0.215217456,7,0.749095574,0.000346591,18,3,True,+,1,0.072270422
ENSMUSG00000071637-P,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",-0.5,0.253169995,7,-0.4,0.6,4,-0.509175077,0.243146224,7,-0.758264867,0.000265601,18,3,True,-,-1,0.067557513
ENSMUSG00000026623-P,3-Hexenedinitrile,0.571428571,0.180201989,7,0.948683298,0.051316702,4,0.678571429,0.093750254,7,0.75993815,0.000252698,18,3,True,+,1,0.067071685
ENSMUSG00000024800-P,3-Hexenedinitrile,0.285714286,0.534509229,7,0.948683298,0.051316702,4,0.321428571,0.482072038,7,0.803304186,5.95e-05,18,3,True,+,1,0.047542574
ENSMUSG00000014195-P,"3-Hydroxy-2,3-dihydromaltol",-0.95499371,0.000805535,7,-1.0,0.0,3,-0.607142857,0.148231161,7,-0.849785567,1.57e-05,17,3,True,-,-1,0.02530808
ENSMUSG00000001687-P,"3-Hydroxy-2,3-dihydromaltol",0.828862466,0.021173516,7,0.5,0.666666667,3,0.892857143,0.006807187,7,0.733292596,0.000809595,17,3,True,+,1,0.09748109
ENSMUSG00000031657-P,"3-Hydroxy-2,3-dihydromaltol",0.648674973,0.114995981,7,0.5,0.666666667,3,0.535714286,0.215217456,7,0.777437301,0.000239803,17,3,True,+,1,0.067071685
ENSMUSG00000013858-P,3-Hydroxyisovaleric acid,-0.607142857,0.148231161,7,-0.8,0.2,4,-0.642857143,0.119392373,7,-0.797729618,7.3e-05,18,3,True,-,-1,0.048881441
ENSMUSG00000091183-P,3-Hydroxyisovaleric acid,0.518874522,0.232753919,7,0.948683298,0.051316702,4,0.852436714,0.014814085,7,0.724584428,0.000670807,18,3,True,+,1,0.091768986
ENSMUSG00000032238-P,3-Indoleacetic acid,0.927633657,0.007665844,6,,,1,0.535714286,0.215217456,7,0.798680351,0.000613332,14,2,True,+,1,0.088618622
ENSMUSG00000028041-P,3-Indoleacetic acid,-0.898645105,0.014888622,6,,,1,-0.678571429,0.093750254,7,-0.838284336,0.000180529,14,2,True,-,-1,0.065404371
ENSMUSG00000031583-P,3-Indoleacetic acid,0.637748139,0.17307111,6,,,1,0.642857143,0.119392373,7,0.794279909,0.000691182,14,2,True,+,1,0.093141217
ENSMUSG00000022023-P,3-Indoleacetic acid,0.753702346,0.083523281,6,,,1,0.785714286,0.036238463,7,0.792079687,0.000732972,14,2,True,+,1,0.09525589
ENSMUSG00000011831-P,3-Indoleacetic acid,0.579771036,0.227783957,6,,,1,0.928571429,0.002519472,7,0.792079687,0.000732972,14,2,True,+,1,0.09525589
ENSMUSG00000034349-P,3-Indoleacetic acid,0.81167945,0.049857585,6,,,1,0.785714286,0.036238463,7,0.820682565,0.000322273,14,2,True,+,1,0.070704867
ENSMUSG00000021243-P,3-Methoxysalicylic acid,1.0,0.0,3,0.4,0.6,4,1.0,0.0,3,0.890909091,0.000542144,10,3,True,+,1,0.084297044
ENSMUSG00000024687-P,3-Methoxysalicylic acid,-0.5,0.666666667,3,-1.0,0.0,4,-1.0,0.0,3,-0.927272727,0.000112035,10,3,True,-,-1,0.056988561
ENSMUSG00000029790-P,3-Methoxysalicylic acid,-1.0,0.0,3,-0.8,0.2,4,-0.5,0.666666667,3,-0.951515152,2.28e-05,10,3,True,-,-1,0.029711909
ENSMUSG00000024191-P,3-Methoxysalicylic acid,-1.0,0.0,3,-1.0,0.0,4,-1.0,0.0,3,-0.878787879,0.000813862,10,3,True,-,-1,0.09748109
ENSMUSG00000024800-P,3-Methoxysalicylic acid,-1.0,0.0,3,-1.0,0.0,4,-0.5,0.666666667,3,-0.915151515,0.000204472,10,3,True,-,-1,0.067071685
ENSMUSG00000018707-P,3-Methoxysalicylic acid,1.0,0.0,3,1.0,0.0,4,1.0,0.0,3,0.951515152,2.28e-05,10,3,True,+,1,0.029711909
ENSMUSG00000013858-P,3-Methyladenine,-0.540562478,0.210289253,7,,,2,-0.857142857,0.013697327,7,-0.759382104,0.000644544,16,2,True,-,-1,0.089999952
ENSMUSG00000090877-P,3-Methyladenine,0.666693722,0.10192046,7,,,2,0.857142857,0.013697327,7,0.787343848,0.000294261,16,2,True,+,1,0.069788514
ENSMUSG00000051297-P,3-Methyladenine,0.95499371,0.000805535,7,,,2,0.504524979,0.248203114,7,0.788727653,0.000282234,16,2,True,+,1,0.068741648
ENSMUSG00000014075-P,"3-Methylpiperazine-2,5-dione, (R)-",0.95499371,0.000805535,7,0.5,0.666666667,3,,,0,0.899700205,0.000391674,10,2,True,+,1,0.075327579
ENSMUSG00000031590-P,"3-Methylpiperazine-2,5-dione, (R)-",0.774806218,0.040769463,7,0.5,0.666666667,3,,,0,0.875383983,0.000905326,10,2,True,+,1,0.098452429
ENSMUSG00000056735-P,"3-Methylpiperazine-2,5-dione, (R)-",-0.684712472,0.089666453,7,-0.866025404,0.333333333,3,,,0,-0.890243902,0.000555027,10,2,True,-,-1,0.085558767
ENSMUSG00000070527-P,"3-Methylpiperazine-2,5-dione, (R)-",-0.991031209,1.46e-05,7,-0.866025404,0.333333333,3,,,0,-0.920731707,0.000156839,10,2,True,-,-1,0.061889587
ENSMUSG00000032560-P,3-Nonen-1-ol,-0.702731221,0.078237454,7,,,2,-0.608759587,0.199660189,6,-0.792487851,0.000426583,15,2,True,-,-1,0.078055046
ENSMUSG00000049739-P,3-Ureidopropionic acid,0.81167945,0.049857585,6,,,2,0.678571429,0.093750254,7,0.87935692,1.57e-05,15,2,True,+,1,0.02530808
ENSMUSG00000022568-P,3-Ureidopropionic acid,-0.927633657,0.007665844,6,,,2,-0.714285714,0.071343561,7,-0.866845744,2.88e-05,15,2,True,-,-1,0.035186847
ENSMUSG00000072763-P,3-Ureidopropionic acid,0.985610761,0.000309086,6,,,2,0.785714286,0.036238463,7,0.848972636,6.25e-05,15,2,True,+,1,0.047630497
ENSMUSG00000041642-P,"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",-0.542857143,0.265702624,6,-0.8,0.2,4,-0.828571429,0.041562682,6,-0.805882353,0.000163847,16,3,True,-,-1,0.06313846
